,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Language,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0,SC1,SC2,SC3,SC4,SC5
Participant 74,10/26/2022 17:20:40,10/26/2022 17:27:48,IP Address,100,427,TRUE,10/26/2022 17:27:49,R_2YyriwPJ2k1HhxA,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,3- Often,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,1- Almost never,3- Often,2- Sometimes,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,3- Often,4- Usually,3- Often,2- Sometimes,4- Usually,Mild stress,Mild stress,None,None,Mild Stress,Mild stress,None,C,D,B,B,D,D,B,B,C,C,D,B,D,B,B,B,D,B,D,D,D,D,B,B,D,B,B,B,"Yes, 3x per month or less","Yes, every other week","Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,crafting,Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Queer,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",58,63,16,20,17,12
Participant 75,10/26/2022 17:30:05,10/26/2022 17:41:47,IP Address,100,702,TRUE,10/26/2022 17:41:48,R_3NVCeq7Xu2RYUr4,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,4- Usually,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Mild stress,Mild stress,Mild stress,Severe stress,None,None,E- describes me very well,C,A- does not describe me well,B,E- describes me very well,E- describes me very well,C,E- describes me very well,D,D,C,A- does not describe me well,B,A- does not describe me well,B,E- describes me very well,E- describes me very well,A- does not describe me well,C,D,D,D,D,B,C,E- describes me very well,A- does not describe me well,C,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,No,,,,Current first year,35-39,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,In a romantic relationship,Yes,No,No,"Yes, 10-20 hours a week",69,84,21,22,20,17
Participant 76,10/26/2022 17:39:32,10/26/2022 17:46:52,IP Address,100,439,TRUE,10/26/2022 17:46:52,R_3MzdpYFGNAA8wE1,anonymous,EN,1,"I consent, begin the study",2- Sometimes,1- Almost never,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,4- Usually,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,4- Usually,Moderate stress,Moderate stress,Moderate stress,Moderate stress,Moderate stress,None,Mild stress,E- describes me very well,E- describes me very well,A- does not describe me well,B,D,B,B,E- describes me very well,E- describes me very well,D,E- describes me very well,B,D,B,B,D,C,B,D,D,E- describes me very well,D,E- describes me very well,A- does not describe me well,E- describes me very well,E- describes me very well,A- does not describe me well,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week","Yes, 1-2 times per week","Yes, 1-2 times per week",,Playing guitar/music,,Current first year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Single (never married),No,No,Yes,"Yes, less than 10 hours a week",49,81,22,23,26,8
Participant 77,10/26/2022 17:44:12,10/26/2022 17:50:07,IP Address,100,354,TRUE,10/26/2022 17:50:07,R_1dn762PTvS92Vh8,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,3- Often,3- Often,1- Almost never,2- Sometimes,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Moderate stress,Moderate stress,None,Moderate stress,None,None,E- describes me very well,E- describes me very well,C,A- does not describe me well,D,C,B,D,D,C,D,B,C,B,A- does not describe me well,D,C,B,D,D,D,D,D,B,D,D,C,E- describes me very well,"Yes, 3+ times per week",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 1-2 times per week",,"Yoga, going for walks, listening to music",,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",68,79,20,23,19,12
Participant 78,10/26/2022 17:52:45,10/26/2022 18:00:19,IP Address,100,454,TRUE,10/26/2022 18:00:19,R_1qUk6soNFJGCZkp,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,3- Often,3- Often,3- Often,3- Often,1- Almost never,2- Sometimes,4- Usually,4- Usually,4- Usually,2- Sometimes,3- Often,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,4- Usually,None,Mild stress,Moderate stress,None,Moderate stress,Mild stress,None,D,D,A- does not describe me well,A- does not describe me well,D,D,A- does not describe me well,B,D,D,D,A- does not describe me well,C,A- does not describe me well,D,D,D,B,B,D,D,D,D,B,D,D,B,D,No,No,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",,I play the clarinet,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",Asian,No,Female,Questioning/unsure,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",58,80,21,23,18,16
Participant 79,10/26/2022 17:56:14,10/26/2022 18:02:29,IP Address,100,375,TRUE,10/26/2022 18:02:30,R_1db4GW6DP4JWTQw,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,3- Often,4- Usually,1- Almost never,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,3- Often,Moderate stress,Mild stress,Mild stress,Moderate stress,Mild Stress,Mild stress,None,D,E- describes me very well,A- does not describe me well,B,D,D,B,D,E- describes me very well,C,E- describes me very well,A- does not describe me well,B,A- does not describe me well,C,D,B,A- does not describe me well,D,D,E- describes me very well,C,D,B,D,E- describes me very well,B,D,"Yes, 1-2 times per week","Yes, every other week","Yes, 3x per month or less","Yes, 3x per month or less",No,,,,Current first year,35-39,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Married,Yes,Yes,Yes,No,49,82,21,24,23,12
Participant 80,10/26/2022 17:40:02,10/26/2022 18:21:09,IP Address,100,2467,TRUE,10/26/2022 18:21:10,R_cAtPHzxValbtvVf,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,4- Usually,3- Often,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,Moderate stress,None,None,None,Mild Stress,None,Mild stress,D,D,B,B,C,A- does not describe me well,B,C,B,B,D,C,E- describes me very well,C,D,A- does not describe me well,A- does not describe me well,B,E- describes me very well,B,D,C,C,A- does not describe me well,B,A- does not describe me well,A- does not describe me well,D,No,No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,"baking, cleaning/decluttering/organization, volunteer activities",Current second year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",59,44,16,15,16,1
Participant 81,10/26/2022 18:39:22,10/26/2022 18:45:31,IP Address,100,369,TRUE,10/26/2022 18:45:32,R_1kZZMtS5SbvFWDu,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,1- Almost never,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,1- Almost never,3- Often,4- Usually,3- Often,1- Almost never,3- Often,Mild stress,Moderate stress,Mild stress,None,Severe stress,None,Mild stress,D,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,D,B,D,D,D,E- describes me very well,B,B,A- does not describe me well,B,C,D,A- does not describe me well,C,D,D,E- describes me very well,D,C,C,D,C,C,No,No,"Yes, 3x per month or less",No,"Yes, 3+ times per week",,,Journaling; watching tv/listening to favorite podcasts,Current first year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",56,86,21,26,21,18
Participant 82,10/26/2022 19:04:08,10/26/2022 19:10:25,IP Address,100,376,TRUE,10/26/2022 19:10:25,R_qwKZIvvZuAcdZMl,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,4- Usually,1- Almost never,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,Moderate stress,None,Moderate stress,Moderate stress,Moderate stress,None,None,D,D,B,B,D,C,B,D,D,D,D,B,B,B,C,A- does not describe me well,D,B,D,D,D,D,D,C,D,D,B,D,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Straight or Heterosexual,Married,No,Yes,No,No,43,74,22,21,20,15
Participant 83,10/26/2022 19:24:39,10/26/2022 19:35:55,IP Address,100,675,TRUE,10/26/2022 19:35:56,R_1FeOUe5xwuJj4vB,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,1- Almost never,3- Often,4- Usually,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,Mild stress,Mild stress,Mild stress,None,Moderate stress,None,None,C,E- describes me very well,B,A- does not describe me well,E- describes me very well,C,B,C,E- describes me very well,D,E- describes me very well,A- does not describe me well,C,B,B,C,B,A- does not describe me well,C,E- describes me very well,D,E- describes me very well,E- describes me very well,A- does not describe me well,C,E- describes me very well,A- does not describe me well,D,"Yes, 3+ times per week",No,"Yes, 3+ times per week",No,"Yes, 3+ times per week",,,Walking my dogs,Current first year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,"Yes, 20-30 hours a week",42,80,23,27,20,10
Participant 84,10/26/2022 19:34:46,10/26/2022 19:44:43,IP Address,100,596,TRUE,10/26/2022 19:44:43,R_3KMUbR6uO0gxCvl,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,1- Almost never,4- Usually,3- Often,3- Often,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,4- Usually,1- Almost never,3- Often,Mild stress,Moderate stress,None,None,Moderate stress,None,None,B,E- describes me very well,B,A- does not describe me well,D,C,B,E- describes me very well,E- describes me very well,D,D,B,C,A- does not describe me well,B,C,D,A- does not describe me well,D,D,E- describes me very well,E- describes me very well,D,A- does not describe me well,D,D,B,E- describes me very well,No,No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less","Painting, outdoor hikes",,,Current first year,25-29,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,65,81,18,27,21,12
Participant 85,10/26/2022 19:47:15,10/26/2022 19:52:38,IP Address,100,322,TRUE,10/26/2022 19:52:38,R_1IYQAaCwmho32XW,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,1- Almost never,3- Often,3- Often,2- Sometimes,1- Almost never,2- Sometimes,Mild stress,Moderate stress,None,None,Mild Stress,None,None,D,C,B,B,D,E- describes me very well,B,C,D,D,D,B,C,B,D,A- does not describe me well,D,A- does not describe me well,C,E- describes me very well,D,E- describes me very well,A- does not describe me well,B,B,D,B,C,No,No,"Yes, 3x per month or less",No,No,,,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,Married,No,No,No,"Yes, less than 10 hours a week",51,69,19,23,15,16
Participant 86,10/26/2022 19:46:57,10/26/2022 19:52:40,IP Address,100,342,TRUE,10/26/2022 19:52:40,R_W65W8LY9r0o2JBD,anonymous,EN,1,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,4- Usually,2- Sometimes,2- Sometimes,3- Often,1- Almost never,4- Usually,2- Sometimes,3- Often,3- Often,4- Usually,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,4- Usually,Moderate stress,None,None,None,Moderate stress,Moderate stress,Moderate stress,D,D,A- does not describe me well,B,E- describes me very well,C,C,D,E- describes me very well,C,D,A- does not describe me well,B,A- does not describe me well,D,E- describes me very well,D,A- does not describe me well,C,D,E- describes me very well,D,D,A- does not describe me well,E- describes me very well,E- describes me very well,A- does not describe me well,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less",Art,,,Current first year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon","Asian,White",No,Female,Bisexual,In a romantic relationship,No,Yes,No,No,55,83,20,24,20,12
Participant 87,10/26/2022 19:54:38,10/26/2022 20:01:37,IP Address,100,419,TRUE,10/26/2022 20:01:37,R_2SeriC6nHGSF6fU,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,Mild stress,Mild stress,Severe stress,None,Mild Stress,None,None,C,D,A- does not describe me well,B,C,D,B,E- describes me very well,D,C,E- describes me very well,B,B,B,B,D,C,A- does not describe me well,C,D,E- describes me very well,D,D,C,C,D,B,D,"Yes, 3+ times per week",No,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",,,,Current first year,30-34,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Single (never married),No,No,No,"Yes, 10-20 hours a week",41,80,17,22,24,15
Participant 88,10/26/2022 20:12:52,10/26/2022 20:25:25,IP Address,100,752,TRUE,10/26/2022 20:25:25,R_3n7rfladQMB7ySo,anonymous,EN,0.899999976,"I consent, begin the study",4- Usually,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,1- Almost never,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Mild stress,Mild stress,None,None,Moderate stress,None,None,C,D,B,C,B,B,B,D,E- describes me very well,C,D,B,D,B,B,B,B,A- does not describe me well,D,D,D,E- describes me very well,D,B,C,C,A- does not describe me well,E- describes me very well,"Yes, 3x per month or less","Yes, every other week","Yes, 1-2 times per week",No,"Yes, 3x per month or less",watch TV,,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,Yes,"Yes, 10-20 hours a week",42,66,17,23,18,7
Participant 89,10/26/2022 20:35:30,10/26/2022 20:43:50,IP Address,100,499,TRUE,10/26/2022 20:43:50,R_2eaPzoLgBB6cTIf,anonymous,EN,1,"I consent, begin the study",1- Almost never,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,2- Sometimes,4- Usually,1- Almost never,2- Sometimes,1- Almost never,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,Mild stress,Mild stress,Mild stress,None,Mild Stress,None,None,A- does not describe me well,D,A- does not describe me well,D,B,C,C,E- describes me very well,D,B,E- describes me very well,E- describes me very well,E- describes me very well,C,A- does not describe me well,B,D,B,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,C,B,E- describes me very well,D,A- does not describe me well,D,"Yes, 3x per month or less","Yes, every other week","Yes, 3x per month or less",No,"Yes, 3+ times per week",,,Cuddling and playing with my dog,Current second year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Questioning/unsure,In a romantic relationship,No,No,Yes,"Yes, 10-20 hours a week",47,63,11,20,27,7
Participant 90,10/26/2022 21:03:29,10/26/2022 21:11:42,IP Address,100,492,TRUE,10/26/2022 21:11:42,R_27PEozXJ7186QYp,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Mild stress,Moderate stress,Moderate stress,Moderate stress,Moderate stress,None,None,B,D,A- does not describe me well,B,D,C,B,D,E- describes me very well,E- describes me very well,D,B,D,B,C,D,C,A- does not describe me well,C,D,C,D,D,B,D,D,B,C,No,No,"Yes, 3x per month or less",No,"Yes, 3+ times per week",,,"Netflix, cooking",Current second year,25-29,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask","Asian,White",No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,68,74,17,23,19,13
Participant 91,10/27/2022 5:08:46,10/27/2022 5:17:47,IP Address,100,541,TRUE,10/27/2022 5:17:48,R_6hPMKrZuM7BAIet,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Severe stress,Severe stress,Mild stress,Moderate stress,Severe stress,Severe stress,C,E- describes me very well,B,A- does not describe me well,E- describes me very well,C,A- does not describe me well,B,E- describes me very well,D,E- describes me very well,A- does not describe me well,C,A- does not describe me well,D,E- describes me very well,C,A- does not describe me well,E- describes me very well,E- describes me very well,C,E- describes me very well,E- describes me very well,A- does not describe me well,C,E- describes me very well,A- does not describe me well,D,"Yes, 1-2 times per week","Yes, every other week","Yes, 3+ times per week",No,"Yes, 1-2 times per week",,Watching tv,,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",70,79,22,28,16,9
